,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10
Mean,3698.3634,3679.4504,3698.244,3733.9652,3703.0584,3704.4176,3715.4884,3715.6188,3736.3532,3718.1436
Variance,5102006.712211662,4986098.366976539,4980152.770941094,5132982.925881549,5156777.908780319,5157811.104320672,5284459.790644505,4949554.15570213,5452978.000249785,5230767.364115452
Standard Deviation,2258.7622079828725,2232.9573141859514,2231.625589327451,2265.6087318602804,2270.8540042856825,2271.0814834172447,2298.7952911567627,2224.759347817676,2335.1612364566577,2287.087091502082
